core_num,top,down,left,right,attack,time,,,,
4,699,139,3160,0,0,49,,,,
5,309,1376,3359,0,0,49,,,,
6,2350,1722,2395,3229,0,49,,,,
7,7605,700,2304,3219,0,49,,,,
8,700,2498,2167,3245,0,49,,,,
9,139,2867,3125,0,0,49,,,,
0,836,223,1378,0,0,50,,,,
1,1368,159,1066,2742,0,50,,,,
2,159,159,1096,2842,0,50,,,,
3,9233,645,117,438,0,50,,,,
4,642,78,1571,0,0,50,,,,
5,223,1694,1471,0,0,50,,,,
6,797,185,814,1576,0,50,,,,
7,6908,614,0,658,0,50,,,,
8,614,614,0,715,0,50,,,,
9,78,78,1582,0,0,50,,,,
0,853,248,1361,0,0,51,,,,
1,1362,168,1244,2729,0,51,,,,
2,168,168,1253,2849,0,51,,,,
3,9159,643,99,476,0,51,,,,
4,637,77,1628,0,0,51,,,,
5,248,1929,1477,0,0,51,,,,
6,795,193,904,1558,0,51,,,,
7,6852,605,0,788,0,51,,,,
8,605,605,0,823,0,51,,,,
9,77,77,1633,0,0,51,,,,
0,1778,224,2511,0,0,52,,,,
1,3325,171,1480,3515,0,52,,,,
2,171,1972,1494,3601,0,52,,,,
3,8989,1899,140,1416,0,52,,,,
4,634,96,2785,0,0,52,,,,
5,224,1257,2600,0,0,52,,,,
6,2609,1717,1158,2043,0,52,,,,
7,7509,588,0,2426,0,52,,,,
8,588,2272,0,2457,0,52,,,,
9,96,96,2778,0,0,52,,,,
0,845,243,1388,0,0,53,,,,
1,1373,156,1042,2776,0,53,,,,
2,156,156,1052,2857,0,53,,,,
3,9337,709,110,443,0,53,,,,
4,672,109,1578,0,0,53,,,,
5,243,1647,1475,0,0,53,,,,
6,803,190,793,1599,0,53,,,,
7,6967,667,0,640,0,53,,,,
8,667,667,0,689,0,53,,,,
9,109,109,1594,0,0,53,,,,
0,811,207,1365,0,0,54,,,,
1,1344,145,1238,2747,0,54,,,,
2,145,145,1242,2844,0,54,,,,
3,9263,692,113,497,0,54,,,,
4,645,83,1647,0,0,54,,,,
5,207,1872,1476,0,0,54,,,,
6,788,179,917,1597,0,54,,,,
7,6911,651,0,780,0,54,,,,
8,651,651,0,813,0,54,,,,
9,83,83,1636,0,0,54,,,,
0,1650,236,2921,0,0,55,,,,
1,3023,175,2271,4621,0,55,,,,
2,175,1854,2276,4644,0,55,,,,
3,9012,2172,1113,1534,0,55,,,,
4,626,83,2955,0,0,55,,,,
5,236,2445,3028,0,0,55,,,,
6,2092,1483,1669,2560,0,55,,,,
7,7545,624,1589,2690,0,55,,,,
8,624,2464,1466,2748,0,55,,,,
9,83,1940,2937,0,0,55,,,,
0,918,257,1551,0,0,56,,,,
1,1517,161,1201,2980,0,56,,,,
2,161,298,1238,3039,0,56,,,,
3,9206,800,262,554,0,56,,,,
4,644,86,1717,0,0,56,,,,
5,257,1843,1619,0,0,56,,,,
6,907,292,913,1683,0,56,,,,
7,6948,599,232,858,0,56,,,,
8,599,777,184,913,0,56,,,,
9,86,324,1722,0,0,56,,,,
0,835,237,1381,0,0,57,,,,
1,1368,149,1223,2756,0,57,,,,
2,149,149,1237,2869,0,57,,,,
3,9331,704,109,496,0,57,,,,
4,655,87,1646,0,0,57,,,,
5,237,1887,1483,0,0,57,,,,
6,807,182,915,1604,0,57,,,,
7,6962,661,0,773,0,57,,,,
8,661,661,0,812,0,57,,,,
9,87,87,1641,0,0,57,,,,
0,1680,250,2329,0,0,58,,,,
1,3067,173,2156,3417,0,58,,,,
2,173,1920,2180,3527,0,58,,,,
3,8997,1955,122,1484,0,58,,,,
4,628,93,2805,0,0,58,,,,
5,250,2282,2454,0,0,58,,,,
6,1983,1446,1582,1943,0,58,,,,
7,7292,609,0,2611,0,58,,,,
8,609,2099,0,2680,0,58,,,,
9,93,93,2791,0,0,58,,,,
0,932,257,1459,0,0,59,,,,
1,1533,158,1282,2793,0,59,,,,
2,158,305,1300,2910,0,59,,,,
3,9174,783,112,570,0,59,,,,
4,657,93,1721,0,0,59,,,,
5,257,1922,1567,0,0,59,,,,
6,911,286,964,1593,0,59,,,,
7,6918,628,0,915,0,59,,,,
8,628,777,0,963,0,59,,,,
9,93,93,1723,0,0,59,,,,
0,853,258,1369,0,0,60,,,,
1,1359,155,1243,2727,0,60,,,,
2,155,155,1234,2827,0,60,,,,
3,9197,654,100,487,0,60,,,,
4,645,87,1656,0,0,60,,,,
5,258,1911,1467,0,0,60,,,,
6,787,182,921,1560,0,60,,,,
7,6877,617,0,790,0,60,,,,
8,617,617,0,810,0,60,,,,
9,87,87,1620,0,0,60,,,,
0,839,238,1366,0,0,61,,,,
1,1356,146,1256,2727,0,61,,,,
2,146,146,1271,2837,0,61,,,,
3,9210,643,101,476,0,61,,,,
4,653,93,1651,0,0,61,,,,
5,238,1939,1473,0,0,61,,,,
6,785,173,901,1579,0,61,,,,
7,6890,605,0,783,0,61,,,,
8,604,604,0,836,0,61,,,,
9,93,93,1637,0,0,61,,,,
0,937,253,1568,0,0,62,,,,
1,1538,173,1234,3010,0,62,,,,
2,173,311,1269,3070,0,62,,,,
3,9308,816,251,567,0,62,,,,
4,663,92,1722,0,0,62,,,,
5,253,1895,1638,0,0,62,,,,
6,925,307,939,1698,0,62,,,,
7,7014,653,232,880,0,62,,,,
8,653,811,178,929,0,62,,,,
9,92,323,1751,0,0,62,,,,
0,844,241,1367,0,0,63,,,,
1,1365,158,1241,2741,0,63,,,,
2,158,158,1248,2844,0,63,,,,
3,9251,697,106,494,0,63,,,,
4,638,92,1661,0,0,63,,,,
5,241,1911,1474,0,0,63,,,,
6,796,186,911,1577,0,63,,,,
7,6912,659,0,788,0,63,,,,
8,659,659,0,818,0,63,,,,
9,91,93,1639,0,0,63,,,,
0,842,242,1374,0,0,64,,,,
1,1367,173,1235,2744,0,64,,,,
2,173,173,1234,2831,0,64,,,,
3,9217,684,107,495,0,64,,,,
4,657,92,1644,0,0,64,,,,
5,242,1895,1461,0,0,64,,,,
6,814,202,920,1595,0,64,,,,
7,6894,637,0,785,0,64,,,,
8,637,637,0,807,0,64,,,,
9,92,92,1638,0,0,64,,,,
0,1725,240,2578,0,0,65,,,,
1,3311,168,2230,3683,0,65,,,,
2,168,2128,2273,3803,0,65,,,,
3,9310,2088,139,1670,0,65,,,,
4,653,96,3103,0,0,65,,,,
5,240,2383,2714,0,0,65,,,,
6,2378,1775,1696,2095,0,65,,,,
7,7863,657,0,2897,0,65,,,,
8,657,2512,0,2940,0,65,,,,
9,96,96,3072,0,0,65,,,,
0,846,246,1361,0,0,66,,,,
1,1366,183,1224,2725,0,66,,,,
2,183,183,1255,2844,0,66,,,,
3,9179,681,109,493,0,66,,,,
4,652,93,1629,0,0,66,,,,
5,246,1925,1475,0,0,66,,,,
6,816,213,907,1573,0,66,,,,
7,6850,641,0,766,0,66,,,,
8,641,641,0,821,0,66,,,,
9,93,93,1643,0,0,66,,,,
0,838,234,1381,0,0,67,,,,
1,1362,149,1244,2762,0,67,,,,
2,149,149,1257,2846,0,67,,,,
3,9299,659,127,504,0,67,,,,
4,644,92,1648,0,0,67,,,,
5,234,1924,1473,0,0,67,,,,
6,799,176,920,1616,0,67,,,,
7,6922,615,0,785,0,67,,,,
8,615,615,0,824,0,67,,,,
9,92,92,1645,0,0,67,,,,
0,1777,376,3100,2,0,68,,,,
1,3235,165,2205,4896,0,68,,,,
2,165,2005,2233,4940,0,68,,,,
3,9325,2073,1221,1608,0,68,,,,
4,661,91,3042,2,0,68,,,,
5,285,2384,3220,1,0,68,,,,
6,2226,1605,1661,2673,0,68,,,,
7,7966,667,1761,2771,0,68,,,,
8,667,2621,1609,2812,0,68,,,,
9,91,2142,3022,1,0,68,,,,
0,858,260,1365,0,0,69,,,,
1,1352,144,1247,2727,0,69,,,,
2,144,144,1265,2856,0,69,,,,
3,9192,661,117,498,0,69,,,,
4,646,89,1640,0,0,69,,,,
5,260,1962,1486,0,0,69,,,,
6,777,171,916,1581,0,69,,,,
7,6861,625,0,787,0,69,,,,
8,625,625,0,821,0,69,,,,
9,89,89,1643,0,0,69,,,,
0,857,261,1374,0,0,70,,,,
